"clan","name","gender","words"
"Shadowclan","Talonpaw","Male","Talonpaw is a pale gray tom"
"Shadowclan","Tangleburr","Female","Tangleburr is a gray-and-brown she-cat"
"Shadowclan","Tawnypelt","Female","Tawnypelt is a lean, mottled, tortoiseshell-and-white she-cat with clear green eyes"
"Shadowclan","Tigerstar","Male","Tigerstar is a dark brown tabby tom with amber eyes"
"Shadowclan","Toadfoot","Male","Toadfoot is a dark brown tom"
"Shadowclan","Toadskip","Male","Toadskip is a dark brownt abby tom with white splashes, white legs, and blue eyes"
"Shadowclan","Turtlekit","Unknown","Turtlekit is a gray, brown, and white tortoiseshell cat"
"Shadowclan","Violetshine","Female","Violetshine is a small white she-cat with black splotches and yellow eyes. She has glossy fur, wide paws, and a long, thick tail"
"Shadowclan","Volewhisper","Male","Volewhisper is a tiny light brown tom with yellow eyes and a scarred left hind leg"
"Shadowclan","Wasptail","Female","Wasptail is a yellow tabby she-cat with green eyes"
"Shadowclan","Weaselkit","Unknown","No Description"
"Shadowclan","Wetfoot","Male","Wetfoot is a gray tabby tom"
"Shadowclan","Whisperkit","Male","Whisperkit is a gray tom"
"Shadowclan","Whitethroat","Male","Whitethroat is a small black tom with a white chest and paws"
"Shadowclan","Whitewater","Female","Whitewater is a long-furred white she-cat with a blind eye"
"Shadowclan","Whorlpelt","Male","Whorlpelt is a gray-and-white tom"
"Shadowclan","Wildfur","Male","has a broken backbone"
"Shadowclan","Wishkit","Female","Wishkit is a pale ginger tabby she-cat"
"Shadowclan","Wolfstep","Male","Wolfstep is a gray tom with a torn ear"
"Shadowclan","Yarrowleaf","Female","Yarrowleaf is a ginger she-cat with yellow eyes"
"Shadowclan","Yellowstar","Unknown","No Description"
"Skyclan","Acornpaw","Male","Acornpaw is a light brown tom"
"Skyclan","Beechpaw","Unknown","No Description"
"Skyclan","Beechstar","Male","Beechstar is a brown tabby tom with milky blue eyes"
"Skyclan","Beepaw","Female","Beepaw is a white and brown tabby she-cat"
"Skyclan","Beetlekit","Male","Beetlekit is a gray tabby tom"
"Skyclan","Bellaleaf","Female","Bellaleaf is a pale orange she-cat with green eyes. she has long legs and a chin that tapers to a point"
"Skyclan","Billystorm","Male","Billystorm is a long furred ginger and white tom with leaf green eyes and a broad face"
"Skyclan","Birchstar","Unknown","No Description"
"Skyclan","Birdflight","Female","Birdflight is a fluffy, long furred light brown tabby she-cat with amber eyes"
"Skyclan","Birdwing","Female","Birdwing is a black she-cat with a lighter colored muzzle and green eyes"
"Skyclan","Blossomheart","Female","Blossomheart is a fluffy ginger and white she-cat"
"Skyclan","Bouncefire","Male","Bouncefire is a ginger tom with green eyes"
"Skyclan","Brackenheart","Male","Brackenheart is a small pale brown tabby tom"
"Skyclan","Braveheart","Male","Braveheart is a broad shouldered dark tabby tom"
"Skyclan","Brightspirit","Female","Brightspirit is a silver tabby she-cat with green eyes"
"Skyclan","Buzzardstar","Male","Buzzardstar is a ginger tom with green eyes"
"Skyclan","Cherrytail","Female","Cherrytail is a fluffy tortoiseshell and white she-cat with green eyes and hard gray paw pads"
"Skyclan","Cloudmist","Female","Cloudmist is a white she-cat with yellow eyes"
"Skyclan","Cloudstar","Male","Cloudstar is a small, lithe, pale gray tom with very pale water-blue eyes. He has white patches that resemble clouds, and broad shoulders"
"Skyclan","Clovertail","Female","Clovertail is a soft furred light brown she-cat with a white underbelly and legs and green eyes"
"Skyclan","Creekfeather","Male","Creekfeather is a gray tabby tom"
"Skyclan","Darkstar","Male","Darkstar is a dark brown tom with soft, thick fur underlaid with black, nicked ears, and milky yellow eyes"
"Skyclan","Dewspring","Male","Dewspring is a sturdy, gray tom with a broad face"
"Skyclan","Dewstar","Unknown","No Description"
"Skyclan","Duskkit","Male","Duskkit is a white tom with brown paws and ears"
"Skyclan","Duskpaw","Male","Duskpaw is a ginger tabby tom"
"Skyclan","Echosong","Female","Echosong is a silver gray tabby she-cat with a white chest, and green eyes"
"Skyclan","Egg","Male","Egg is a long legged sleek cream colored tom with blue eyes and a shredded ear"
"Skyclan","Emberkit","Female","Emberkit is an orange she-cat"
"Skyclan","Fallensnow","Unknown","No Description"
"Skyclan","Fallowfern","Female","Fallowfern is a pale brown she-cat with blue eyes, who has lost her hearing"
"Skyclan","Fawnstep","Female","Fawnstep is a small light brown tabby she-cat with a white chest, paws, and blue eyes"
"Skyclan","Fennelstar","Unknown","No Description"
"Skyclan","Fernpelt","Female","Fernpelt is a dark brown tabby she-cat"
"Skyclan","Fidgetflake","Male","Fidgetflake is a black and white tom with yellow eyes"
"Skyclan","Firefern","Female","Firefern is a long legged, long furred ginger she-cat with green eyes"
"Skyclan","Flowerstem","Female","Flowerstem is a small silver she-cat"
"Skyclan","Flystar","Male","No Description"
"Skyclan","Frecklewish","Female","Frecklewish is a leggy mottled light brown tabby she-cat with spotted legs and pale green eyes"
"Skyclan","Gorseclaw","Male","Gorseclaw is a broad shouldered dark brown tabby tom with amber eyes"
"Skyclan","Gravelnose","Male","Gravelnose is a tan colored tom"
"Skyclan","Harrybrook","Male","Harrybrook is a gray tom with a paler underside and amber eyes"
"Skyclan","Hatchkit","Male","Hatchkit is a dark gray tom"
"Skyclan","Hawksnow","Male","Hawksnow is a brown tabby tom speckled with white"
"Skyclan","Hawkstar","Male","No Description"
"Skyclan","Hawkwing","Male","Hawkwing is a big sturdy and sleek-furred, dark gray tabby tom with yellow eyes"
"Skyclan","Hazelwing","Female","Hazelwing is an orange tabby she-cat with green eyes"
"Skyclan","Honeyleaf","Female","Honeyleaf is a ginger tabby she-cat with green eyes"
"Skyclan","Honeytail","Female","Honeytail is a pale ginger she-cat with long fur and green eyes"
"Skyclan","Kitescratch","Male","Kitescratch is a reddish-brown tom with a torn ear"
"Skyclan","Leafstar","Female","Leafstar is a mottled pale cream-and-brown tabby she-cat with amber eyes, cream patches, and a long, brown tail, she has a scar on her chest between her forelegs"
"Skyclan","Lichenfur","Female","Lichenfur is a mottled gray she-cat with a rumpled pelt, nicked ears and amber eyes"
"Skyclan","Macgyver","Male","Macgyver is a slender, thick-furred black and white tom"
"Skyclan","Maplestar","Female","Maplestar is a dark ginger she-cat"
"Skyclan","Maplewhisker","Female","No Description"
"Skyclan","Mintfur","Female","Mintfur is a gray tabby she-cat with blue eyes"
"Skyclan","Mintpaw","Female","Mintpaw is a pale gray she-cat"
"Skyclan","Mistfeather","Male","Mistfeather is a mangy, ragged, and skinny gray tom with amber eyes"
"Skyclan","Mistlekit","Female","Mistlekit is a silver tabby she-cat"
"Skyclan","Morningmist","Unknown","No Description"
"Skyclan","Mothpelt","Male","Mothpelt is a black and brown tom"
"Skyclan","Mottlepaw","Male","Mottlepaw is a small black and white tom with white patches and blue eyes"
"Skyclan","Mousefang","Female","Mousefang is a sandy-colored she-cat"
"Skyclan","Nectarsong","Female","Nectarsong is a brown she-cat"
"Skyclan","Needleclaw","Female","Needleclaw is a black and white she-cat with a black chest, and bright eyes"
"Skyclan","Nettlesplash","Male","Nettlesplash is a pale brown tom with green eyes"
"Skyclan","Nightfur","Male","Nightfur is a thin furred black tom with a gray muzzle"
"Skyclan","Nightmask","Male","No Description"
"Skyclan","Oakstep","Male","Oakstep is a gray tabby tom"
"Skyclan","Oddfoot","Male","Oddfoot is a brown tabby tom with one of his paws twisted inward"
"Skyclan","Palesky","Female","Palesky is a black and white she-cat with amber eyes"
"Skyclan","Patchfoot","Male","Patchfoot is a black and white tom with green eyes"
"Skyclan","Pebbleshine","Female","Pebbleshine is a sleek and pale brown-speckled white she-cat with green eyes and a long, thick tail"
"Skyclan","Petalfall","Female","Petalfall is a rose cream furred she-cat with dark green eyes and no teeth"
"Skyclan","Petalnose","Female","Petalnose is a very pale gray almost white she-cat with blue eyes"
"Skyclan","Pigeonfoot","Female","Pigeonfoot is a gray and white she-cat"
"Skyclan","Plumwillow","Female","Plumwillow is a dark gray she-cat with amber eyes"
"Skyclan","Poppycloud","Female","Poppycloud is a tortoiseshell she-cat"
"Skyclan","Quailfeather","Female","Has a long, thick coat"
"Skyclan","Quailfeather","Male","Quailfeather is a white tom with crow-black ears"
"Skyclan","Quailheart","Male","Quailheart is a dappled gray tom"
"Skyclan","Rabbitleap","Male","Rabbitleap is a short-furred brown tom with yellow eyes"
"Skyclan","Raincloud","Female","No Description"
"Skyclan","Rainfur","Male","Rainfur is a light gray tom with dark gray flecks"
"Skyclan","Rainleap","Female","Rainleap is a silver tabby she-cat with blue eyes"
"Skyclan","Rainsplash","Male","Rainsplash is a speckled gray tom"
"Skyclan","Reedclaw","Female","Reedclaw is a small pale brown tabby she-cat"
"Skyclan","Ridgekit","Female","Ridgekit is a reddish she-cat with a white nose"
"Skyclan","Rileypool","Male","Rileypool is a broad-shouldered pale gray tabby tom with dark gray stripes, one dark gray ear, and blue eyes"
"Skyclan","Robinstar","Unknown","No Description"
"Skyclan","Robinwing","Male","No Description"
"Skyclan","Rockshade","Male","Rockshade is a black tom with a torn ear and orange eyes"
"Skyclan","Rootspring","Male","Rootspring is a fluffy bright yellow tom with a broad head and shoulders, a torn ear, and sky blue eyes"
"Skyclan","Rowanstar","Male","Rowanstar is a black and brown tom"
"Skyclan","Rubblepaw","Male","No Description"
"Skyclan","Sagenose","Male","Sagenose is a pale gray tom"
"Skyclan","Sandynose","Male","Sandynose is a stocky light brown tabby tom with ginger legs and amber eyes"
"Skyclan","Sharpclaw","Male","Sharpclaw is a dark ginger tabby tom with braod shoulders, powerful haunches and hind legs, and green eyes"
"Skyclan","Shiningheart","Female","Shiningheart is a silver tabby she-cat"
"Skyclan","Shrewtooth","Male","Shrewtooth is a long furred skinny black tom with yellow eyes"
"Skyclan","Skystar","Male","Skystar is a light gray tom with blue eyes"
"Skyclan","Skywatcher","Male","Skywatcher is a big, taill, dark gray tom. He has thick, scarred, matted fur, a white-flecked muzzle, and huge, pale blue eyes."
"Skyclan","Snailpaw","Male","Snailpaw is a dark brown tabby tom with soft fur"
"Skyclan","Snipkit","Female","Snipkit is a tiny black she-cat with a white patch on her chest"
"Skyclan","Sparrowpelt","Male","Sparrowpelt is a dark brown tabby tom with yellow eyes"
"Skyclan","Spiderpelt","Unknown","No Description"
"Skyclan","Spiderstar","Male","Spiderstar is a big, dark brown tabby tom"
"Skyclan","Spottedpelt","Female","Spottedpelt is a slender, dappled tortoiseshell she-cat"
"Skyclan","Squirrelfur","Male","Squirrelfur is a red brown tom"
"Skyclan","Starlingfeather","Male","Starlingfeather is a dark brown tom with rheumy amber eyes"
"Skyclan","Stoatfur","Male","Stoatfur is an orange and white tom"
"Skyclan","Stormheart","Female","Stormheart is a gray and ginger she-cat with amber eyes"
"Skyclan","Strikestone","Male","Strikestone is a brown tabby and white tom. One of his ears is shredded, and he has completely lost his hearing in that ear"
"Skyclan","Sunnypelt","Female","Sunnypelt is a ginger she-cat"
"Skyclan","Sunpelt","Unknown","No Description"
"Skyclan","Swallowflight","Male","Swallowflight is a long legged black tom"
"Skyclan","Tangle","Male","Tangle is a large tabby tom with ragged, rumpled fur and amber eyes"
"Skyclan","Tansypaw","Female","Tansypaw is a cream colored she-cat with a pink nose"
"Skyclan","Tinycloud","Female","Tinycloud is a small, slight-framed, white she-cat with deep blue eyes and thick smooth fur"
"Skyclan","Tree","Male","Tree is a small, thickly pelted, muscular, bright yellow tom with amber eyes, and he has six toes on one of his hind paws"
"Skyclan","Turtlecrawl","Female","Turtlecrawl is a tortoiseshell she-cat"
"Skyclan","Twigtail","Male","No Description"
"Skyclan","Violetshine","Female","Violetshine is a small white she-cat with black splotches and yellow eyes. She has glossy fur, wide paws, and a long thick tail"
"Skyclan","Waspwhisker","Male","Waspwhisker is a gray and white tom with blue eyes and a scar that stretches from under his belly almost to his tail"
"Skyclan","Weaselwhisker","Male","Weaselwhisker is a brown and ginger tom"
"Skyclan","Webkit","Male","Webkit is a pale gray tom"
"Skyclan","Wrenflight","Female","Wrenflight is a golden tabby she-cat"
"Thunderclan","Adderfang","Male","Adderfang is a mottled, dark brown tabby tom with yellow eyes. He has massive shoulders and a broad head"
"Thunderclan","Alderheart","Male","Alderheart is a sturdy dark ginger tom with a white tipped tail, and amber eyes"
"Thunderclan","Amberclaw","Male","Amberclaw is a long-legged tom"
"Thunderclan","Ambermoon","Female","Ambermoon is a small, pale ginger she-cat with amber eyes"
"Thunderclan","Bayshine","Male","Bayshine is a golden tabby tom with white splotches"
"Thunderclan","Beechfur","Male","No Description"
"Thunderclan","Beetail","Male","Beetail is a dark brown tabby tom with near-black stripes, amber eyes, and long legs and a long tail"
"Thunderclan","Berrynose","Male","Berrynose is a cream-colored tom with a stump for a tail"
"Thunderclan","Birchface","Male","Birchface is a dark brown, almost black, tabby tom"
"Thunderclan","Birchfall","Male","Birchfall is a light brown tabby tom with amber eyes and glossy fur"
"Thunderclan","Birdflight","Female","Birdflight is a fluffy, long-furred, light brown tabby she-cat with amber eyes"
"Thunderclan","Bloomheart","Male","Bloomheart is a gray tabby tom"
"Thunderclan","Blossomfall","Female","Blossomfall is a long and thick-furred tortoiseshell-and-white she-cat with petal shaped white patches"
"Thunderclan","Bluestar","Female","Bluestar is a pale blue-gray she-cat with blue eyes"
"Thunderclan","Brackenfur","Male","Brackenfur is a golden-brown tabby tom with amber eyes. He has fur around his muzzle that is fading to gray, long legs, and a scar on his flank."
"Thunderclan","Bramblestar","Male","Bramblestar is a dark brown tabby tom with amber eyes"
"Thunderclan","Briarlight","Female","Briarlight is a sleek-furred dark brown she-cat with sky-blue eyes"
"Thunderclan","Brightheart","Female","Brightheart is a white she-cat with ginger patches, a single blue eye, and fur torn away from one side of her face"
"Thunderclan","Brindleface","Female","Brindleface is a pale gray tabby she-cat with darker flecks and green eyes"
"Thunderclan","Bristlefrost","Female","Bristlefrost is a thick-furred pale gray she-cat with blue-green eyes, neat ears, and long whiskers"
"Thunderclan","Bristlekit","Female","Bristlekit is a orange-and-white tabby she-cat"
"Thunderclan","Bumblestripe","Male","Bumblestripe is a bulky, big, very pale gray tom. He has black stripes that resemble a bumblebee, thick fur, a torn ear, and yellow eyes."
"Thunderclan","Cherryfall","Female","Cherryfall is a ginger she-cat with amber eyes"
"Thunderclan","Cherrypaw","Unknown","Cherrypaw is a ginger-and-white cat"
"Thunderclan","Chestnutkit","Unknown","Chestnutkit is a reddish-brown cat with lighter parts"
"Thunderclan","Cinderheart","Female","Cinderheart is a smoky-gray tabby she-cat with dark blue eyes"
"Thunderclan","Cinderpelt","Female","Cinderpelt is a small and sleek-furred, smoky-dark gray she-cat with pale blue eyes, and a twisted hind leg"
"Thunderclan","Cloudberry","Female","Cloudberry is a white she-cat with yellow eyes. She has thick, long fur, bony haunches, and a broad flattened muzzle"
"Thunderclan","Cloudtail","Male","Cloudtail is a heavy, snowy-white tom with blue eyes. He has fluffy, thick and long fur"
"Thunderclan","Cricketkit","Unknown","Cricketkit is a blue-gray cat"
"Thunderclan","Daisy","Female","Daisy is a broad-backed, long-furred, cream she-cat with pale blue eyes, a fluffy tail, and soft fur"
"Thunderclan","Daisyheart","Female","Daisyheart is a she-cat with a ginger-and-white face"
"Thunderclan","Daisytoe","Female","Daisytoe is a gray-and-white she-cat with yellow eyes"
"Thunderclan","Dandelionkit","Female","Dandelionkit is a pale ginger tabby she-cat with paler markings and glossy fur"
"Thunderclan","Dappletail","Female","Dappletail is a broad-shouldered, dappled trotoiseshell-and-white she-cat with white patches, a patchy, thick, shiny pelt, amber eyes, and a muzzle gray with age"
"Thunderclan","Dawnfeather","Female","Dawnfeather is a pale orange she-cat with a white belly, white paws, and pale blue eyes"
"Thunderclan","Deerdapple","Female","Deerdapple is a silver-and-black tabby she-cat"
"Thunderclan","Dewnose","Male","Dewnose is a gray-and-white tom with amber eyes"
"Thunderclan","Doestar","Female","Doestar is a tall, pale cream, fawn, and white she-cat with amber eyes, a cream-colored tail, and a creamy ruff"
"Thunderclan","Dustpelt","Male","Dustpelt is a lithe, heavy dark brown tabby tom with amber eyes. He also has fur around his muzzle that is fading to gray"
"Thunderclan","Eaglestorm","Male","Eaglestorm is a gray tom with green eyes"
"Thunderclan","Eaglewing","Female","Eaglewing is a ginger she-cat"
"Thunderclan","Elderkit","Male","Elderkit is a tiny, dark gray tom"
"Thunderclan","Fallowpaw","Unknown","No Description"
"Thunderclan","Fallowsong","Female","Fallowsong is a light brown she-cat"
"Thunderclan","Featherkit","Male","Featherkit is a deaf white tom with blue eyes"
"Thunderclan","Featherwhisker","Male","Featherwhisker is a smooth and thick-furred, pale silver-gray tom with bright amber eyes, long whiskers, and a sweeping,  plumy tail"
"Thunderclan","Featherwing","Female","Featherwing is a pale gray she-cat"
"Thunderclan","Ferncloud","Female","Ferncloud is a little, short-furred pale gray she-cat with darker flecks, and pale leaf-green eyes"
"Thunderclan","Fernsong","Male","Fernsong is a pale yellow tabby tom"
"Thunderclan","Fernstripe","Female","Fernstripe is a gray tabby she-cat"
"Thunderclan","Finchlight","Female","Finchlight is tortoiseshell she-cat with orange in her fur"
"Thunderclan","Finchstar","Male","Finchstar is a ginger tabby and white tom with amber eyes"
"Thunderclan","Finleap","Male","Finleap is a light brown tom with ginger legs and ears, yellow eyes, and part of his tail missing"
"Thunderclan","Firestar","Male","Firestar is a bright flame-colored tom with emerald-green eyes"
"Thunderclan","Flamenose","Male","Flamenose is a ginger tom with amber eyes"
"Thunderclan","Flashnose","Female","Flashnose is a dark ginger she-cat with a white muzzle"
"Thunderclan","Flickerkit","Male","Flickerkit is a orange-and-black tom"
"Thunderclan","Flipclaw","Male","Flipclaw is a brown tabby tom with golden eyes"
"Thunderclan","Flowerpaw","Female","Flowerpaw is a she-cat with a dappled gray head"
"Thunderclan","Foxleap","Male","Foxleap is a reddish tabby tom with glossy fur"
"Thunderclan","Frostfur","Female","Frostfur is a pure snow-white she-cat with dark sky-blue eyes and sleek, soft fur"
"Thunderclan","Fuzzypelt","Male","Fuzzypelt is a black tom with fur that stands on end, yellow eyes, and a thick-furred tail"
"Thunderclan","Goldenflower","Female","Goldenflower is a sleek small, pale ginger tabby she-cat. She has a small nick in one ear, and yellow eyes"
"Thunderclan","Gooseberry","Female","Gooseberry is a pale yellow tabby she-cat"
"Thunderclan","Goosefeather","Male","Goosefeather is a speckled gray tom with pale blue eyes"
"Thunderclan","Graykit","Male","Graykit is a white tom with gray spots"
"Thunderclan","Graystripe","Male","Graystripe is a dark grey tom with yellow eyes, and a stripe of darker gray fur running down his back"
"Thunderclan","Greeneyes","Female","Greeneyes is a gray tabby she-cat with startlingly green eyes"
"Thunderclan","Halftail","Male","Halftail is a big, broad-shouldered, dark brown tabby tom with patchy fur, yellow eyes, and part of his tail missing"
"Thunderclan","Harepounce","Female","Harepounce is a light brown she-cat with yellow eyes"
"Thunderclan","Hazeltail","Female","Hazeltail is a small gray-and-white she-cat with a lean, whippy tail like the branches of a hazel tree"
"Thunderclan","Heronwing","Male","Heronwing is a dark brown tabby tom with yellow eyes"
"Thunderclan","Hollykit","Female","Hollykit is a brown tabby she-cat with amber eyes"
"Thunderclan","Hollyleaf","Female","Hollyleaf is a slender, long-legged, black she-cat with soft and long fur. She has green eyes, and a bushy tail"
"Thunderclan","Hollypelt","Female","Hollypelt is a black she-cat with green eyes"
"Thunderclan","Hollytuft","Female","Hollytuft is a black she-cat"
"Thunderclan","Honeyfern","Female","Honeyfern is a sleek, lithe, dappled, light brown tabby she-cat with blue eyes"
"Thunderclan","Honeyfur","Female","Honeyfur is a white she-cat with yellow splotches and green eyes"
"Thunderclan","Icecloud","Female","Icecloud is a sleek, snowy-white she-cat with bright blue eyes"
"Thunderclan","Ivypool","Female","Ivypool is a silver-and-white tabby she-cat with dark blue eyes"
"Thunderclan","Jayfeather","Male","Jayfeather is a gray tabby tom with blind blue eyes"
"Thunderclan","Juniperkit","Male","Juniperkit is a dark brown tabby-and-white tom with glossy fur"
"Thunderclan","Kestrelwing","Male","Kestrelwing is a dark brown tabby tom"
"Thunderclan","Larchkit","Male","Larchkit is a soft-furred dark brown tom"
"Thunderclan","Larchkit","Female","Larchkit is a brown tabby she-cat"
"Thunderclan","Larksong","Male","Larksong is a black tom"
"Thunderclan","Larksong","Female","Larksong is a tortoiseshell she-cat with pale leaf-green eyes and a dull, ragged pelt"
"Thunderclan","Leafpool","Female","Leafpool is a small, lithe, pale brown tabby she-cat with amber eyes. She has a white chest and paws"
"Thunderclan","Leafshade","Female","Leafshade is a tortoiseshell she-cat"
"Thunderclan","Leafstorm","Female","Leafstorm is a ginger she-cat with green eyes"
"Thunderclan","Leopardfoot","Female","Leopardfoot is a sleek, mottled, raven-black she-cat with green eyes"
"Thunderclan","Lilyheart","Female","Lilyheart is a small dark gray tabby she-cat with white patches and blue eyes"
"Thunderclan","Lionblaze","Male","Lionblaze is a golden tabby tom with amber eyes and thick fluff ringing around his neck"
"Thunderclan","Lionheart","Male","Lionheart is a golden tabby tom with green eyes, and thick fur like a lion's mane"
"Thunderclan","Lionstar","Male","Lionstar is a massive ginger tom with long fur"
"Thunderclan","Littlestep","Male","Littlestep is a black-and-white tom with blue eyes"
"Thunderclan","Longtail","Male","Longtail is a lean, pale brown OR silver tabby tom with black stripes and pale blue eyes. He has a V shaped nick in his ear, and a long tail."
"Thunderclan","Lynxkit","Unknown","Lynxkit is a ginger cat with black patches"
"Thunderclan","Millie","Female","Millie is a small, short-furred light gray tabby she-cat with blue eyes and a torn ear. She is nearly deaf"
"Thunderclan","Mistkit","Female","Mistkit is a gray she-cat"
"Thunderclan","Mistlekit","Female","Mistlekit is a dark gray tabby she-cat"
"Thunderclan","Mistpelt","Female","Mistpelt is a thick-furred pale gray she-cat with green eyes"
"Thunderclan","Molepaw","Male","Molepaw is large black and gray tom"
"Thunderclan","Molewhisker","Male","Molewhisker is a large brown-and-cream tom with amber eyes"
"Thunderclan","Moonflower","Female","Moonflower is a silver-gray she-cat with dark stripes and pale yellow eyes"
"Thunderclan","Morningstar","Male","Morningstar is a long-legged gray tom with pale blue eyes"
"Thunderclan","Mossheart","Unknown","No Description"
"Thunderclan","Mosskit","Female","Mosskit is a pale gray-and-white she-cat with sleek fur. She has a pink nose and bright blue eyes"
"Thunderclan","Mothwhisker","Male","Mothwhisker is gray-and-brown tom with patchy fur"
"Thunderclan","Mousefur","Female","Mousefur is a small dusky brown she-cat with eyes the color of sunlit ice"
"Thunderclan","Mousewhisker","Male","Mousewhisker is a big, muscular gray-and-white tom with fluffy, thick, soft fur and green eyes"
"Thunderclan","Mumblefoot","Male","Mumblefoot is a small, mangy, graying, thick-furred brown tom with amber eyes"
"Thunderclan","Myrtlebloom","Female","Myrtlebloom is a pale brown she-cat"
"Thunderclan","Nettlebreeze","Male","Nettlebreeze is a ragged ginger tom with cloudy, rheumy eyes"
"Thunderclan","Nettleclaw","Male","Nettleclaw is a gray tabby tom with dark gray stripes"
"Thunderclan","Nightheart","Male","Nightheart is a skinny black tom with amber eyes and long whiskers"
"Thunderclan","Nightkit","Female","Nightkit is a black she-cat"
"Thunderclan","Oakstar","Male","Oakstar is a broad-shouldered, glossy-furred sturdy dark brown tom with amber eyes"
"Thunderclan","Oatspeckle","Unknown","No Description"
"Thunderclan","Oatwhisker","Male","Oatwhisker is a broad-shouldered brown tom"
"Thunderclan","One-Eye","Female","One-Eye is a pale gray she-cat who is virtually blind and deaf. A knotted scar covers the lid of her missing eye, and her remaining eye is yellow."
"Thunderclan","Owlstar","Male","No Description"
"Thunderclan","Owlstar","Male","Owlstar is a lean, lithe, sleek, dark gray tom with wide,  brilliant, amber eyes, and broad shoulders"
"Thunderclan","Patchkit","Male","Patchkit is a pale, patched ginger-and-white tom with green eyes, fluffy, glossy fur, and a tiny bit of black fur"
"Thunderclan","Patchpelt","Male","Patchpelt is a small black-and-white tom with smooth fur, and amber eyes"
"Thunderclan","Pearnose","Female","Pearnose is a dark brown tabby she-cat"
"Thunderclan","Petalkit","Female","Petalkit is a fluffy, pale brown she-kit"
"Thunderclan","Pineclaw","Male","Pineclaw is a dark brown tom. He has a rip in one ear stretching all the way from the base of the ear to the tip"
"Thunderclan","Plumstone","Female","Plumstone is a sturdy, black-and-ginger she-cat"
"Thunderclan","Poppydawn","Female","Poppydawn is a long-haired dark red she-cat with an extremely bushy tail and amber eyes"
"Thunderclan","Poppyfrost","Female","Poppyfrost is a sleek, slender, dappled, pale tortoiseshell-and-white she-cat"
"Thunderclan","Prickleface","Male","No Description"
"Thunderclan","Purdy","Male","Purdy is a dark brown tabby tom with a gray muzzle, and rheumy amber eyes"
"Thunderclan","Rabbitfur","Male","Rabbitfur is a gray tabby tom"
"Thunderclan","Rabbitleap","Male","Rabbitleap is a light brown tom with thick fur"
"Thunderclan","Rainfur","Female","Rainfur is a speckled ginger-and-white she-cat with amber eyes"
"Thunderclan","Rainwhisker","Male","Rainwhisker is a dark gray tom with blue eyes"
"Thunderclan","Ravenwing","Male","Ravenwing is a small, thick-furred black tom with dark blue eyes"
"Thunderclan","Redstar","Male","Redstar is a muscular dark ginger tom with yellow eyes"
"Thunderclan","Redtail","Male","Redtail is a dark tortoiseshell tom with a bushy dark ginger tail and amber eyes"
"Thunderclan","Robinwing","Female","Robinwing is a small dusky brown she-cat with a ginger patch on her chest, amber eyes, and a thick-furred tail"
"Thunderclan","Rockfall","Male","Rockfall is a silver tom with blue eyes"
"Thunderclan","Rooktail","Male","Rooktail is a black tom with blue eyes"
"Thunderclan","Rosepetal","Female","Rosepetal is a lithe, dark cream she-cat with amber eyes"
"Thunderclan","Rosetail","Female","Rosetail is a gray tabby she-cat with a bushy, pinkish-orange tail"
"Thunderclan","Runningwind","Male","Runningwind is a lean, lithe, muscular, light brown tabby tom with green eyes and a narrow face"
"Thunderclan","Sandstorm","Female","Sandstorm is a pale ginger she-cat with barely visible stripes of darker fur, and leaf-green eyes"
"Thunderclan","Seedpaw","Female","Seedpaw is a golden-brown she-cat"
"Thunderclan","Seedpelt","Female","Seedpelt is a gray she-cat with darker flecks and blue eyes"
"Thunderclan","Seedpelt","Male","Seedpelt is a light brown-and-white tom"
"Thunderclan","Seedpelt","Female","Seedpelt is a gray she-cat"
"Thunderclan","Shellfur","Male","Shellfur is a tortoiseshell tom with green eyes"
"Thunderclan","Shrewpaw","Male","Shrewpaw is a small dark brown tom with amber eyes and a narrow muzzle"
"Thunderclan","Smallear","Male","Smallear is a gray tom with very small ears, amber eyes, and a nick in one ear"
"Thunderclan","Snowbush","Male","Snowbush is a fluffy white tom with amber eyes"
"Thunderclan","Snowfur","Female","Snowfur is a white she-cat with gray-tipped ears and blue eyes"
"Thunderclan","Snowkit","Male","Snowkit is a small, sturdy deaf white tom with blue eyes"
"Thunderclan","Songbird","Female","Songbird is a light brown tabby she-cat with white front paws and amber eyes"
"Thunderclan","Sootfur","Male","Sootfur is a lighter gray tom with amber eyes"
"Thunderclan","Sorrelstripe","Female","Sorrelstripe is a dark brown she-cat"
"Thunderclan","Sorreltail","Female","Sorreltail is a sturdy, slender, dappled tortoiseshell-and-white she-cat with amber eyes, a soft tail, and a white chest and paws"
"Thunderclan","Sparkpelt","Female","Sparkpelt is a flame-colored tabby she-cat with bright emerald green eyes"
"Thunderclan","Speckletail","Female","Speckletail is a pale golden tabby she-cat with amber eyes"
"Thunderclan","Spiderleg","Male","Spiderleg is a lithe, long-limbed, black tom with a brown underbelly, and amber eyes. He has a long tail, glossy fur, and a muzzle flecked with gray"
"Thunderclan","Spotfur","Female","Spotfur is a gray-and-white spotted tabby she-cat with blue eyes"
"Thunderclan","Spottedleaf","Female","Spottedleaf is a dark tortoiseshell-and-white she-cat with amber eyes"
"Thunderclan","Squirrelflight","Female","Squirrelflight is a dark ginger she-cat with one white paw, a squirrel-like, bushy tail, and green eyes"
"Thunderclan","Stagleap","Male","Stagleap is a gray tabby tom with amber eyes"
